batch ID	stage-G4Q4Pk8J6XGFjX9F3xfbg8Qv.bam	stage-G4Q4Pk8J6XGFjX9F3xfbg8Qv.bam_index	stage-G4Q4Pk8J6XGFjX9F3xfbg8Qv.bam ID	stage-G4Q4Pk8J6XGFjX9F3xfbg8Qv.bam_index ID
TCGA-ZB-A962-10A-01D-A42B-09_gdc_realn	TCGA-ZB-A962-10A-01D-A42B-09_gdc_realn.bam	TCGA-ZB-A962-10A-01D-A42B-09_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8BFzvQJkj34J261FjxxZVqZ	project-G428g40Jf312vx5727kY9KXZ:file-G8BG028Jkj32gzz0G35PzV4y
TCGA-Z7-A8R6-10A-01D-A41F-09_gdc_realn	TCGA-Z7-A8R6-10A-01D-A41F-09_gdc_realn.bam	TCGA-Z7-A8R6-10A-01D-A41F-09_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8BFzYQJgfVVk3BbG1KjvGGb	project-G428g40Jf312vx5727kY9KXZ:file-G8BFzjjJgfVy70Px8QxZz5pg
TCGA-Z7-A8R5-10A-01D-A41F-09_gdc_realn	TCGA-Z7-A8R5-10A-01D-A41F-09_gdc_realn.bam	TCGA-Z7-A8R5-10A-01D-A41F-09_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8BZxX8JK6z0xz4V3yxfJ252	project-G428g40Jf312vx5727kY9KXZ:file-G8BZy38JK6z282vv8VFxBjF2
TCGA-Z6-AAPN-10A-01D-A403-09_gdc_realn	TCGA-Z6-AAPN-10A-01D-A403-09_gdc_realn.bam	TCGA-Z6-AAPN-10A-01D-A403-09_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8BFzB0Jj57YZbv84p614B7p	project-G428g40Jf312vx5727kY9KXZ:file-G8BFzQQJj57jZ3BJ3kV6q589
TCGA-Z6-A9VB-10A-01D-A37F-09_gdc_realn	TCGA-Z6-A9VB-10A-01D-A37F-09_gdc_realn.bam	TCGA-Z6-A9VB-10A-01D-A37F-09_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8BFZ8QJPVPYpVvKG30PJ736	project-G428g40Jf312vx5727kY9KXZ:file-G8BFZJjJPVPg60032Y43J2xG
TCGA-Z6-A8JE-10A-01D-A37F-09_gdc_realn	TCGA-Z6-A8JE-10A-01D-A37F-09_gdc_realn.bam	TCGA-Z6-A8JE-10A-01D-A37F-09_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8BFx8jJK2vxQ6274p9PzGYj	project-G428g40Jf312vx5727kY9KXZ:file-G8BFxP0JK2vb686p3zjqf2QQ
TCGA-Z6-A8JD-10A-01D-A36M-09_gdc_realn	TCGA-Z6-A8JD-10A-01D-A36M-09_gdc_realn.bam	TCGA-Z6-A8JD-10A-01D-A36M-09_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8Bb4yjJVJbK94Qj3kzQ3yBZ	project-G428g40Jf312vx5727kY9KXZ:file-G8Bb5B0JVJb273YkFkBfzgK9
TCGA-Z4-AAPG-10A-01D-A38Z-09_gdc_realn	TCGA-Z4-AAPG-10A-01D-A38Z-09_gdc_realn.bam	TCGA-Z4-AAPG-10A-01D-A38Z-09_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8BFkkQJ92ykQJ0jBqk4kYGK	project-G428g40Jf312vx5727kY9KXZ:file-G8BFkzjJ92yzxFBvPzg7qPq4
TCGA-Z4-AAPF-10A-01D-A38Z-09_gdc_realn	TCGA-Z4-AAPF-10A-01D-A38Z-09_gdc_realn.bam	TCGA-Z4-AAPF-10A-01D-A38Z-09_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8BFfyQJgVkZvJ6z05PzgQp1	project-G428g40Jf312vx5727kY9KXZ:file-G8BFg5jJgVkx1Fgx2XGjfFq5
TCGA-Z4-A9VC-10A-01D-A37F-09_gdc_realn	TCGA-Z4-A9VC-10A-01D-A37F-09_gdc_realn.bam	TCGA-Z4-A9VC-10A-01D-A37F-09_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8BFggjJ137fB5k74p82X7Z0	project-G428g40Jf312vx5727kY9KXZ:file-G8BFgx8J137jKgZV3z38f1Z1
TCGA-Z4-A8JB-10A-01D-A37F-09_gdc_realn	TCGA-Z4-A8JB-10A-01D-A37F-09_gdc_realn.bam	TCGA-Z4-A8JB-10A-01D-A37F-09_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8BFYyjJGy91k3BbG1KjvFzp	project-G428g40Jf312vx5727kY9KXZ:file-G8BFZ50JGy9J1Fgx2XGjfFjG
TCGA-YT-A95H-10A-01D-A42B-09_gdc_realn	TCGA-YT-A95H-10A-01D-A42B-09_gdc_realn.bam	TCGA-YT-A95H-10A-01D-A42B-09_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8BFyq8JYvJPvxPx3p3j82Qq	project-G428g40Jf312vx5727kY9KXZ:file-G8BFz0jJYvJJ5fpZG1pFzf7V
TCGA-YT-A95F-10A-01D-A42B-09_gdc_realn	TCGA-YT-A95F-10A-01D-A42B-09_gdc_realn.bam	TCGA-YT-A95F-10A-01D-A42B-09_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8BFg8jJX89PG8VX8jKV4742	project-G428g40Jf312vx5727kY9KXZ:file-G8BFgQ0JX8956yp2G1Q8y08z
TCGA-YT-A95E-10A-01D-A42B-09_gdc_realn	TCGA-YT-A95E-10A-01D-A42B-09_gdc_realn.bam	TCGA-YT-A95E-10A-01D-A42B-09_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8BG800JbKy504qj3kqpzxfv	project-G428g40Jf312vx5727kY9KXZ:file-G8BG880JbKyKk8zV4p5P5Y5p
TCGA-YT-A95D-10A-01D-A42B-09_gdc_realn	TCGA-YT-A95D-10A-01D-A42B-09_gdc_realn.bam	TCGA-YT-A95D-10A-01D-A42B-09_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8BFQ1jJ7zQ4jFjj2Y6Z90BK	project-G428g40Jf312vx5727kY9KXZ:file-G8BFQ80J7zQ7YqKQ04qJgbJF
TCGA-YR-A95A-10A-01D-A41A-09_gdc_realn	TCGA-YR-A95A-10A-01D-A41A-09_gdc_realn.bam	TCGA-YR-A95A-10A-01D-A41A-09_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8BG1Y8JbvJvPjb33zPBXQG3	project-G428g40Jf312vx5727kY9KXZ:file-G8BG1p8JbvJz06KPFk32y0fj
TCGA-XX-A89A-10A-01D-A36M-09_gdc_realn	TCGA-XX-A89A-10A-01D-A36M-09_gdc_realn.bam	TCGA-XX-A89A-10A-01D-A36M-09_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8BG91QJ4b3fKxbZ3kqP7QzP	project-G428g40Jf312vx5727kY9KXZ:file-G8BG98jJ4b3b6Jx38gQXzbpB
TCGA-XX-A899-10A-01D-A36M-09_gdc_realn	TCGA-XX-A899-10A-01D-A36M-09_gdc_realn.bam	TCGA-XX-A899-10A-01D-A36M-09_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8BFJ30JJy0zxFBvPzg7qP8z	project-G428g40Jf312vx5727kY9KXZ:file-G8BFJF0JJy0V3fpJG2vv95x9
TCGA-XU-A92Y-10A-01D-A426-09_gdc_realn	TCGA-XU-A92Y-10A-01D-A426-09_gdc_realn.bam	TCGA-XU-A92Y-10A-01D-A426-09_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8BFf10JgKGxpkQ3Fjp54VV1	project-G428g40Jf312vx5727kY9KXZ:file-G8BFf7QJgKGkK77JG2jfZz44
TCGA-XS-A8TJ-10A-01D-A36M-09_gdc_realn	TCGA-XS-A8TJ-10A-01D-A36M-09_gdc_realn.bam	TCGA-XS-A8TJ-10A-01D-A36M-09_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8BG1QQJXvKx00FfPzy1b5G1	project-G428g40Jf312vx5727kY9KXZ:file-G8BG1gjJXvKg60032Y43J38q
TCGA-XP-A8T8-10A-01D-A36M-09_gdc_realn	TCGA-XP-A8T8-10A-01D-A36M-09_gdc_realn.bam	TCGA-XP-A8T8-10A-01D-A36M-09_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8Bb5K8Jyvj08kbJ2X5G7zp4	project-G428g40Jf312vx5727kY9KXZ:file-G8Bb5k0Jyvj7J3GyPzj6VZ1V
TCGA-XP-A8T7-10A-01D-A36M-09_gdc_realn	TCGA-XP-A8T7-10A-01D-A36M-09_gdc_realn.bam	TCGA-XP-A8T7-10A-01D-A36M-09_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8BFqk8JYffb6yp2G1Q8y0PB	project-G428g40Jf312vx5727kY9KXZ:file-G8BFqyjJYffx00FfPzy1b56B
TCGA-XP-A8T6-10A-01D-A36M-09_gdc_realn	TCGA-XP-A8T6-10A-01D-A36M-09_gdc_realn.bam	TCGA-XP-A8T6-10A-01D-A36M-09_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8BFYYQJQ7KBK6FzFgzqfF5K	project-G428g40Jf312vx5727kY9KXZ:file-G8BFYpjJQ7K3Zbv84p6149gv
TCGA-XM-AAZ1-10A-01D-A426-09_gdc_realn	TCGA-XM-AAZ1-10A-01D-A426-09_gdc_realn.bam	TCGA-XM-AAZ1-10A-01D-A426-09_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8BFzGjJP42vB68j3qYy4f52	project-G428g40Jf312vx5727kY9KXZ:file-G8BFzVQJP42g60032Y43J36x
TCGA-XM-A8RL-10A-01D-A426-09_gdc_realn	TCGA-XM-A8RL-10A-01D-A426-09_gdc_realn.bam	TCGA-XM-A8RL-10A-01D-A426-09_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8BFj58Jyy2KF4pz04qQZpz5	project-G428g40Jf312vx5727kY9KXZ:file-G8BFjF8Jyy2JyqFGBv889B23
TCGA-XM-A8RF-10A-01D-A426-09_gdc_realn	TCGA-XM-A8RF-10A-01D-A426-09_gdc_realn.bam	TCGA-XM-A8RF-10A-01D-A426-09_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8BFyB0Jp24yF4pz04qQZq6y	project-G428g40Jf312vx5727kY9KXZ:file-G8BFyPjJp24gqGVy8Vb0J3Q8
TCGA-XM-A8RC-10A-01D-A426-09_gdc_realn	TCGA-XM-A8RC-10A-01D-A426-09_gdc_realn.bam	TCGA-XM-A8RC-10A-01D-A426-09_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8BFgVjJ2vPjKgZV3z38f1YV	project-G428g40Jf312vx5727kY9KXZ:file-G8BFggQJ2vPjy19F3kyBV7YG
TCGA-XM-A8R9-10A-01D-A426-09_gdc_realn	TCGA-XM-A8R9-10A-01D-A426-09_gdc_realn.bam	TCGA-XM-A8R9-10A-01D-A426-09_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8BF3z8J8Zv15Xp88YvG3Vxk	project-G428g40Jf312vx5727kY9KXZ:file-G8BF44QJ8Zv4vJ6z05PzgQ87
TCGA-X9-A973-10A-01D-A38A-09_gdc_realn	TCGA-X9-A973-10A-01D-A38A-09_gdc_realn.bam	TCGA-X9-A973-10A-01D-A38A-09_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8BFP68JkkJ3Zbv84p6149Z4	project-G428g40Jf312vx5727kY9KXZ:file-G8BFPGjJkkJ3pVvKG30PJ709
