C500.TCGA-ZF-A9R2-10A-01D-A394-08.1_gdc_realn	C500.TCGA-ZF-A9R2-10A-01D-A394-08.1_gdc_realn.bam	C500.TCGA-ZF-A9R2-10A-01D-A394-08.1_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8BJ5GjJ9Zq8KgZV3z38fZjb	project-G428g40Jf312vx5727kY9KXZ:file-G8BJ5XQJ9Zq99x9jFggq1B83
TCGA-YU-A90Y-10A-01D-A438-10_Illumina_gdc_realn	TCGA-YU-A90Y-10A-01D-A438-10_Illumina_gdc_realn.bam	TCGA-YU-A90Y-10A-01D-A438-10_Illumina_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8BJ4xjJ45XYpVvKG30PPj8P	project-G428g40Jf312vx5727kY9KXZ:file-G8BJ59QJ45XQ8kbJ2X5G5qK4
TCGA-YU-A912-10A-01D-A438-10_Illumina_gdc_realn	TCGA-YU-A912-10A-01D-A438-10_Illumina_gdc_realn.bam	TCGA-YU-A912-10A-01D-A438-10_Illumina_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8BJ4z8J0y6b686p3zjqfjxY	project-G428g40Jf312vx5727kY9KXZ:file-G8BJ58QJ0y6vB68j3qYy4jpX
TCGA-YU-A94I-10A-01D-A438-10_Illumina_gdc_realn	TCGA-YU-A94I-10A-01D-A438-10_Illumina_gdc_realn.bam	TCGA-YU-A94I-10A-01D-A438-10_Illumina_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8BJ4q8J2fk4gXxQPzk86zZ0	project-G428g40Jf312vx5727kY9KXZ:file-G8BJ568J2fkJ1Fgx2XGjfPYV
C529.TCGA-ZG-A8QY-10A-01D-A37A-08.1_gdc_realn	C529.TCGA-ZG-A8QY-10A-01D-A37A-08.1_gdc_realn.bam	C529.TCGA-ZG-A8QY-10A-01D-A37A-08.1_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8BJ4xjJ3BgxyqFGBv88F7pB	project-G428g40Jf312vx5727kY9KXZ:file-G8BJ53jJ3Bgg2YyB2Z2B466G
C529.TCGA-ZG-A9LN-10A-01D-A41N-08.3_gdc_realn	C529.TCGA-ZG-A9LN-10A-01D-A41N-08.3_gdc_realn.bam	C529.TCGA-ZG-A9LN-10A-01D-A41N-08.3_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8BJ4v8JPfv10pqQ4v2ZFV3k	project-G428g40Jf312vx5727kY9KXZ:file-G8BJ51QJPfv10pqQ4v2ZFV43
TCGA-ZM-AA0E-10A-01D-A438-10_Illumina_gdc_realn	TCGA-ZM-AA0E-10A-01D-A438-10_Illumina_gdc_realn.bam	TCGA-ZM-AA0E-10A-01D-A438-10_Illumina_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8BJ4b8JbBvg60032Y43Q7QP	project-G428g40Jf312vx5727kY9KXZ:file-G8BJ508JbBvQVZzZBqPZ4qyB
TCGA-WN-AB4C-10A-01D-A42M-10_Illumina_gdc_realn	TCGA-WN-AB4C-10A-01D-A42M-10_Illumina_gdc_realn.bam	TCGA-WN-AB4C-10A-01D-A42M-10_Illumina_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8BJ4Y0JV6p6KxbZ3kqP86zq	project-G428g40Jf312vx5727kY9KXZ:file-G8BJ4y0JV6p760032Y43Q7Qv
C529.TCGA-ZG-A9M4-10A-01D-A41N-08.3_gdc_realn	C529.TCGA-ZG-A9M4-10A-01D-A41N-08.3_gdc_realn.bam	C529.TCGA-ZG-A9M4-10A-01D-A41N-08.3_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8BJ4fQJ91YYqBVQ8VJZZxxg	project-G428g40Jf312vx5727kY9KXZ:file-G8BJ4qjJ91Yjy19F3kyBXXXY
TCGA-YU-A90W-10A-01D-A438-10_Illumina_gdc_realn	TCGA-YU-A90W-10A-01D-A438-10_Illumina_gdc_realn.bam	TCGA-YU-A90W-10A-01D-A438-10_Illumina_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8BJ4QQJGQ2x00FfPzy1bv6p	project-G428g40Jf312vx5727kY9KXZ:file-G8BJ4q8JGQ2yF4pz04qQbX0b
