batch ID	stage-G4Q4Pk8J6XGFjX9F3xfbg8Qv.bam	stage-G4Q4Pk8J6XGFjX9F3xfbg8Qv.bam_index	stage-G4Q4Pk8J6XGFjX9F3xfbg8Qv.bam ID	stage-G4Q4Pk8J6XGFjX9F3xfbg8Qv.bam_index ID
1950837	1950837_23153_0_0.cram	1950837_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybyp8QJgYkBff0VBBxFXzVF	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybyp8QJgYkKxx324vBY117P
1950866	1950866_23153_0_0.cram	1950866_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyby4g0JxV4BPb85K6yGzpB6	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyby4YjJxV4BPb85K6yGzp9X
1950884	1950884_23153_0_0.cram	1950884_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf3z58JpyVXKg6V3jYvvk45	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf3z58JpyVzzFk0PvKKPGYj
1950913	1950913_23153_0_0.cram	1950913_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybx8JjJzBxqPjGp3jKQxpX9	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybx8J0JzBxqX08fG45vK359
1950954	1950954_23153_0_0.cram	1950954_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybxgv0J5V0G9ky93jF7Y7BY	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybxgq0J5V0G4jfV3jbZZ54Y
1950969	1950969_23153_0_0.cram	1950969_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybz1GjJ37bqPjGp3jKQy64Z	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybz1FjJ37bgqjfP3kgKPvK2
1950976	1950976_23153_0_0.cram	1950976_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybvgj0J3G2P6V3k3kzV0YkF	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybvggjJ3G2B2P0F3P9JVQxF
1951021	1951021_23153_0_0.cram	1951021_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybvfqjJpgK65Yx53k17ByZ3	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybvfqQJpgK0jz7g3jJVVGQy
1951070	1951070_23153_0_0.cram	1951070_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybxFqjJ2X95j06Y3jy23K0z	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybxFpjJ2X96bJq23kb8zfxP
1951094	1951094_23153_0_0.cram	1951094_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybyjv8JP5vKgz4q3jyq4ZB2	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybyjbjJP5v3y9vZ3kP6jz40
1951111	1951111_23153_0_0.cram	1951111_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf17p0Jj9Qz6V3k3kzV1Jy6	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf17kjJj9QkXYqQ3jxxKjY7
1951136	1951136_23153_0_0.cram	1951136_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf3bQ0J7GjFX08fG45vP00q	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf3bPjJ7Gj0ZfJQ3kvV89X5
1951158	1951158_23153_0_0.cram	1951158_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybyxp8JFqvYy9vZ3kP6k06Z	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybyxp8JFqvxQqfk3jJYVkzq
1951189	1951189_23153_0_0.cram	1951189_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybx89jJ7gPy7Jp68g0XVqjP	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybx89QJ7gPv4jfV3jbZZ28K
1951262	1951262_23153_0_0.cram	1951262_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybx128J8yfG9ky93jF7Y36y	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybx128J8yf88X51FVq6QG9q
1951271	1951271_23153_0_0.cram	1951271_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybyfj0JxV6b7v96P5VP7JFP	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybyfg8JxV6kg7P43kGQXX77
1951328	1951328_23153_0_0.cram	1951328_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybygQjJvJPfX5613kgxGPjY	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybygPjJvJPbj06Y3jy23fZX
1951372	1951372_23153_0_0.cram	1951372_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybygJjJyKKXKg6V3jYvv0FF	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybygGQJyKKX86YP7ZVP4k5z
1951448	1951448_23153_0_0.cram	1951448_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybxFP0JYbjKYGJZ3jyQ9qPK	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybxFB8JYbj9g7P43kGQX98K
1951454	1951454_23153_0_0.cram	1951454_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyfqp78JFYJJJ1YV3jzqk8vq	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyfqp70JFYJBk0kz499VgkQ8
1951469	1951469_23153_0_0.cram	1951469_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf4QZ8JKBb9PxkG3k8v7782	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf4QY8JKBbBPb85K6yJ0gPP
